adsh,tag,version,ddate,qtrs,uom,dimh,iprx,value,footnote,footlen,dimn,coreg,durp,datp,dcml
0001193125-24-075464,ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs/2023,20221231,4,CAD,0x08408db647371054e1c9dd392e694260,0,-20913000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs/2023,20221231,4,CAD,0x3d26e30e38f0c4b3eef73b3e7c9cbf89,0,-5881000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs/2023,20231231,4,CAD,0x08408db647371054e1c9dd392e694260,0,4784000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetDefinedBenefitLiabilityAsset,ifrs/2023,20231231,4,CAD,0x3d26e30e38f0c4b3eef73b3e7c9cbf89,0,443000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromExperienceAdjustmentsNetDefinedBenefitLiabilityAsset,ifrs/2023,20221231,4,CAD,0x08408db647371054e1c9dd392e694260,0,1396000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromExperienceAdjustmentsNetDefinedBenefitLiabilityAsset,ifrs/2023,20221231,4,CAD,0x3d26e30e38f0c4b3eef73b3e7c9cbf89,0,161000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromExperienceAdjustmentsNetDefinedBenefitLiabilityAsset,ifrs/2023,20231231,4,CAD,0x08408db647371054e1c9dd392e694260,0,1559000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,ActuarialGainsLossesArisingFromExperienceAdjustmentsNetDefinedBenefitLiabilityAsset,ifrs/2023,20231231,4,CAD,0x3d26e30e38f0c4b3eef73b3e7c9cbf89,0,18000.0,,0,2,,0.01095891,0.0,-3
0001193125-24-075464,Additionscontractliabilities,0001193125-24-075464,20221231,4,CAD,0x00000000,0,45978000.0,,0,0,,0.01095891,0.0,-3
0001193125-24-075464,Additionscontractliabilities,0001193125-24-075464,20231231,4,CAD,0x00000000,0,25935000.0,,0,0,,0.01095891,0.0,-3
