adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,pubfloatusd,floatdate,floataxis,floatmems
0001193125-24-075464,1009001,CAMECO CORP,1090.0,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W,,3069566200,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W.,,,,980113090.0,,,,0,1231.0,40-F,20231231.0,2023.0,FY,20240322,2024-03-22 17:23:00.0,0,1,d764353d40f_htm.xml,1,,,,,
0001193125-20-088317,1009001,CAMECO CORP,1090.0,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W,,3069566200,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W.,,,,980113090.0,,,2-ACC,0,1231.0,40-F,20191231.0,2019.0,FY,20200327,2020-03-27 14:02:00.0,0,1,ccj-20191231.xml,1,,,,,
0001193125-21-087174,1009001,CAMECO CORP,1090.0,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W,,3069566200,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W.,,,,980113090.0,,,2-ACC,0,1231.0,40-F,20201231.0,2020.0,FY,20210319,2021-03-19 13:08:00.0,0,1,ccj-20201231.xml,1,,,,,
0001193125-22-081448,1009001,CAMECO CORP,1090.0,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W,,3069566200,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W.,,,,980113090.0,,,,0,1231.0,40-F,20211231.0,2021.0,FY,20220322,2022-03-22 14:05:00.0,0,1,d328590d40f_htm.xml,1,,,,,
0001193125-23-083565,1009001,CAMECO CORP,1090.0,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W,,3069566200,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W.,,,,980113090.0,,,,0,1231.0,40-F,20221231.0,2022.0,FY,20230329,2023-03-29 15:22:00.0,0,1,d381976d40f_htm.xml,1,,,,,
0001193125-18-099445,1009001,CAMECO CORP,1090.0,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W,,3069566200,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W.,,,,980113090.0,,,2-ACC,0,1231.0,40-F,20171231.0,2017.0,FY,20180328,2018-03-28 15:57:00.0,0,1,ccj-20171231.xml,1,,,,,
0001193125-19-092356,1009001,CAMECO CORP,1090.0,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W,,3069566200,CA,SK,SASKATOON,S7M 1J3,2121 11TH ST W.,,,,980113090.0,,,2-ACC,0,1231.0,40-F,20181231.0,2018.0,FY,20190329,2019-03-29 13:29:00.0,0,1,ccj-20181231.xml,1,,,,,
