dimhash,segments,segt
0x8f268e9e57edda1a6bb6f3e3fe637ee1,GeographicalAreas=US;,0
0x348e3d0219fda53e55c328724cc447ae,PastDueStatus=LaterThanOneMonth;TypeOfCustomer=CorporateCustomers;,0
0x3b9d182aa110808999a5b6550213dc4d,ClassesOfFinancialLiabilities=LeaseLiabilities;Maturity=LaterThanThreeMonthsAndNotLaterThanOneYear;,0
0x79ded1a7041d716545ad22d25fd59f7c,CategoriesOfFinancialLiabilities=FinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognitionCategory;ClassesOfFinancialAssets=InterestRateSwapContract;,0
0x6d656a8d427d712d8ad76e9c44b0d643,CategoriesOfFinancialAssets=FinancialAssetsAtAmortisedCostCategory;,0
0x4e17d09744e4c0bb498745ea21251a96,GeographicalAreas=ForeignCountries;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2032;,0
0xc98fa52d3f992dfa7ede9cb0a45ff600,SignificantInvestmentsInSubsidiaries=CamecoFuelManufacturingInc;,0
0x6d88fd7169df2587f84a299efe6bfc28,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=DeferredTaxLiabilities;,0
0x639c0758bd0e38298cd66a50815471a1,JointOperations=JointOperations;,0
0x0729b32b554a111a797d14203dd87f0b,CategoriesOfFinancialLiabilities=FinancialLiabilitiesAtAmortisedCostCategory;ClassesOfFinancialAssets=InterestRateSwapContract;,0
0x016479a1f95380e6e798e06d52a96552,BusinessCombinations=WestinghouseElectricCompany;,0
0x80c4ba39571bdcb31822ab6ae5d115d5,Range=BottomOfRange;RangesOfExercisePricesForOutstandingShareOptions=PriceRange14Dollars71CentsTo16Dollars38Cents;,0
0xb517bc1d0fe235fcd8ff76bcdd910afa,GeographicalAreas=Europe;Segments=FuelServices;,0
0xde9d38e3922d29e24f02777ccc7baf3f,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=DeferredTaxAssets;,0
0x288ab079b79424bb7fea82a3f693b2f5,GeographicalAreas=ForeignCountries;,0
0xd53e258ad3050e33db799c1d0b35e371,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=DeferredTaxAssetsPropertyPlantAndEquipment;,0
0x2131aedb479d8b65a0cd3faf3fd6938e,BusinessCombinations=CigarLake;Scenario=BeforeAcquiringAdditionalInterestInJointVenture;,0
0x382629af6b0f06b05990f03eb3f51fda,GeographicalAreas=ForeignCountries;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2028;,0
0xaad0fdb81c732731be20446ceb45c06e,BorrowingsByName=SeriesHSeniorunSecuredDebenture;ClassesOfFinancialAssets=InterestRateSwapContract;TypesOfRisks=InterestRateRisk;,0
0xf0346161736be2035b912516c71ced35,JointOperations=CigarLake;Scenario=BeforeAcquiringAdditionalInterestInJointVenture;,0
0xc419ed5434cb61417093f729e0cdf216,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2029;,0
0x64df67b0e29c66e00067fcc52d2175c3,GeographicalAreas=CA;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2038;,0
0xa7dd3a091971f0913012e315537f0bfa,Segments=ReportableSegments;TypesOfContracts=Marketpricecontractsmember;,0
0x7314a1477a23d3aaf98ba0805d93083e,Segments=FuelServices;TypesOfContracts=Marketpricecontractsmember;,0
0x9eaef5265bb1a748a3635bdfe94255ee,PastDueStatus=LaterThanOneDayAndNotLaterThanThirtyDays;TypeOfCustomer=CorporateCustomers;,0
0xdbf33adf43e6d9fedda5e84ccee8fbcd,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=DeferredTaxAssetsIncomeForeignExplorationAndDevelopment;,0
0x0a83fc9c986cd24655ec4a8bf8cc7914,CategoriesOfRelatedParties=Inkai;,0
0x31efec960d8b9aa8e87893b11040cc51,GeographicalAreas=CA;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2030;,0
0xf4d0a59b6662927ea2930a7ab28d9c4c,GeographicalAreas=CA;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2031;,0
0x3204bf6c9dc1af60057218f57251a926,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2031;,0
0xe46cab627a500770e033c445ea5c740e,Maturity=NotLaterThanOneYear;,0
0x552ecf17e4af963f0fd3c1d0f597abba,BorrowingsByName=ProductLoan;ProductsAndServices=Uf6;Range=TopOfRange;,0
0x0904ae52e61f3864cbf5b5afe3ca8703,LiabilitiesArisingFromFinancingActivities=LongtermBorrowings;,0
0x00ea2ffd37f224336c0682cb2165bd87,CarryingAmountAccumulatedDepreciationAmortisationAndImpairmentAndGrossCarryingAmount=GrossCarryingAmount;,0
0xa8dc51d923eba05c79fa2f40d5420e68,Maturity=NotLaterThanOneYear;Segments=FuelServices;,0
0xdf5f7d56f0f889c716327063b4616ff8,SignificantInvestmentsInAssociates=GlobalLaserEnrichmentLlc;,0
0x2629848fa2e4de3e2d5ce336f6bd5680,SignificantInvestmentsInSubsidiaries=CrowButteResourcesInc;,0
0xeb9c57fa916100e3326755c1e70f6e26,BorrowingsByName=UsTermLoanTrancheTwo;,0
0xb321f48f3cfa7b62cae8ac40d659a067,ClassesOfFinancialLiabilities=LongtermDebt;Maturity=LaterThanThreeMonthsAndNotLaterThanOneYear;,0
0xe01a47f79bd4030afc95041df3e82f9e,BorrowingsByName=ProductLoan;ProductsAndServices=Uranium;Range=TopOfRange;,0
0x7359a9ad5e5733505deab4b8abf33774,ClassesOfIntangibleAssetsAndGoodwill=CustomerrelatedIntangibleAssets;,0
0x21e2169eecf35386e039750f6e13d2be,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2032;,0
0x54047320b1f2e1735e28cf6ad390c384,ClassesOfFinancialAssets=InterestRateSwapContract;,0
0xd93554ab1b266181ddafb59270115125,GeographicalAreas=US;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2038;,0
0xf1bd0e0d5fd3e978064a1477369afb0f,ClassesOfFinancialLiabilities=AccountsPayableAndAccruedLiabilities;Maturity=LaterThanOneYearAndNotLaterThanThreeYears;,0
0xf756d1cd18b4c0382b59260ae006ea76,ClassesOfFinancialLiabilities=ForeignCurrencyContracts;Maturity=LaterThanOneYearAndNotLaterThanThreeYears;,0
0x50c844f139b4d0c529b6cee00fcd2c1a,CategoriesOfRelatedParties=RelatedParties;DefinedBenefitPlans=PensionDefinedBenefitPlans;,0
0xee4c49f4c4a56001660af134dab429ee,GeographicalAreas=CA;TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2034;,0
0x9f047b9510c58bba076493cd58d54209,TypesOfSharebasedPaymentArrangements=PhantomRestrictedShareUnitPlan;,0
0x43e53c844512bf2bdad77eabaa7d8d91,BorrowingsByName=SeriesH;,0
0x0ebd096f01f2a54209feaf11ae545ea7,ClassesOfPropertyPlantAndEquipment=ConstructionInProgress;,0
0x76fc7c2baab3dd36dc6e964ec4b8bda9,BorrowingsByName=UsTermLoanTrancheOne;BusinessCombinations=WestinghouseElectricCompany;NonadjustingEventsAfterReportingPeriod=MajorBusinessCombination;,0
0xaa4abfca321398fd37f1af710c3483fb,TemporaryDifferenceUnusedTaxLossesAndUnusedTaxCredits=UnusedTaxExpiry2038;,0
0xf9576cb9d7bf8dbbeb4fa6e9d54d5426,BorrowingsByName=ProductLoan;Maturity=LaterThanTwoYearsAndNotLaterThanThreeYears;ProductsAndServices=Uranium;,0
0x5516043ce7355409a8d72d7201e81674,CategoriesOfFinancialLiabilities=FinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognitionCategory;ClassesOfFinancialAssets=ForeignCurrencyContracts;,0
0xb3b7121816a0f689487100f7f0b7a65a,ClassesOfProvisions=ProvisionForDecommissioningRestorationAndRehabilitationCosts;Segments=Uranium;,0
0x6abd70a7b012accc767bfb30016e4ad4,CategoriesOfRelatedParties=BrookfieldRenewablePartners;SignificantInvestmentsInAssociates=WestinghouseElectricCompany;,0
0x87942e8e7ed71ec626155f69656a8bf6,GeographicalAreas=AU;,0
0xd17247ea752e37b3b9e4c407f56da6e3,ClassesOfFinancialLiabilities=ForeignCurrencyContracts;Maturity=LaterThanThreeYearsAndNotLaterThanFiveYears;,0
0x579ae5c4d4fd89e0c2d934f7ba769c2b,ClassesOfFinancialAssets=ForeignCurrencyContracts;,0
0x2183c6a5cac462e02e551f1d96b73178,Segments=FuelServices;,0
